log_diff,betta,Io,phi,IFR,xi,offset
0.,0.22548555,3.99502977e-06,0.28045638,0.01234073,0.11795911,8
0.,0.25935844,4.43407357e-06,0.88783778,0.00743447,0.13630712,8
0.,0.19735347,5.39532110e-06,0.97014751,0.00778859,0.13844006,6
0.,0.18646946,3.69126860e-06,0.59810783,0.01321726,0.13554764,7
0.,0.14225133,1.79813497e-06,0.48581284,0.01225597,0.14498732,1
0.,0.17544665,2.93886448e-06,0.46247776,0.01148612,0.09986693,2
0.,0.15062778,2.07133274e-06,0.51809107,0.01300337,0.0813965,7
0.,0.25153321,2.72057760e-06,0.9261082,0.01340333,0.10499929,2
0.,0.12809601,5.53017878e-06,0.83356192,0.00883964,0.08315573,1
0.,0.15611121,5.78582630e-06,0.7595581,0.01279451,0.08523679,2
0.,0.26210826,4.32157483e-06,0.42765185,0.013117,0.10614319,7
0.,0.16544707,4.91061754e-06,0.25635352,0.00921193,0.10150912,2
0.,0.1038812,5.27671158e-06,0.34947123,0.01028854,0.11196348,1
0.,0.24296123,6.93120487e-06,0.68944021,0.00951253,0.14222048,4
0.,0.1650511,5.28476347e-06,0.83207034,0.01316651,0.08631026,4
0.,0.10691307,7.20304329e-06,0.55332075,0.01038608,0.14538942,10
0.,0.2377686,4.88622291e-06,0.89611094,0.00925825,0.10827382,5
0.,0.20948729,2.34239778e-06,0.57242691,0.01059082,0.10656983,7
0.,0.22771482,3.34238288e-06,0.68404604,0.01143969,0.14054132,1
0.,0.20156147,4.19493917e-06,0.66338453,0.00932868,0.11316826,1
