log_diff,betta,Io,phi,IFR,xi,offset
0.,0.0923149,2.04185039e-06,0.61513907,0.01347346,0.11634882,7
0.,0.12744976,4.70673105e-06,0.95307039,0.00824631,0.15341433,7
0.,0.2240395,1.73964873e-06,0.72105663,0.0091617,0.10506739,7
0.,0.10523268,1.61235782e-06,0.35673713,0.01106639,0.09600782,10
0.,0.18720577,5.05791765e-06,0.14992777,0.0073737,0.1494434,1
0.,0.11802262,6.81067448e-06,0.28918559,0.00785989,0.09932195,9
0.,0.17910405,2.88456064e-06,0.95265403,0.00952512,0.11318487,1
0.,0.22812989,3.62698598e-06,0.30409385,0.00794548,0.09293431,5
0.,0.24069338,5.34327025e-06,0.6684306,0.0079631,0.10507019,9
0.,0.13162659,7.11213439e-06,0.55325334,0.01223866,0.12378183,6
0.,0.27572079,7.63441689e-06,0.83082174,0.0126404,0.08654327,7
0.,0.21430321,1.56332110e-06,0.61976021,0.01368377,0.15438532,9
0.,0.11835438,1.90638285e-06,0.55768439,0.00828694,0.10786449,9
0.,0.29212819,4.10300666e-06,0.35896867,0.00738695,0.15097572,9
0.,0.24578604,6.92781771e-06,0.36263007,0.0080018,0.07929624,9
0.,0.1515967,2.13540619e-06,0.7237794,0.01270236,0.14264333,10
0.,0.18723142,7.36233566e-06,0.36481521,0.00820579,0.13245677,3
0.,0.16814783,2.06474796e-06,0.80138459,0.0094087,0.08556898,10
0.,0.22066395,4.30881470e-06,0.95701537,0.01066565,0.15751112,5
0.,0.26563856,4.13593102e-06,0.40492514,0.01111605,0.15554005,6
