log_diff,betta,Io,phi,IFR,xi,offset
0.,0.20765196,2.05670961e-06,0.71473395,0.00766142,0.08602109,10
0.,0.19912937,2.87597281e-06,0.28340252,0.00790328,0.12134139,5
0.,0.28392915,1.51106506e-06,0.54499621,0.00946812,0.08102374,10
0.,0.11889408,6.02708774e-06,0.64068058,0.00841816,0.13099731,5
0.,0.28231747,5.60439107e-06,0.37967976,0.01364931,0.13975765,7
0.,0.12825793,5.24799051e-06,0.30446672,0.01291265,0.14957047,10
0.,0.11297152,5.00891274e-06,0.88358927,0.00821759,0.09201732,2
0.,0.16870376,7.50027929e-06,0.81608988,0.00718572,0.10863927,6
0.,0.11206595,1.99339387e-06,0.5642401,0.00820889,0.10882594,10
0.,0.22400273,4.32383809e-06,0.97474355,0.0077794,0.15269551,4
0.,0.27229856,5.51026665e-06,0.88864297,0.01130642,0.15476199,5
0.,0.15787735,6.58322686e-06,0.67694039,0.0120208,0.13807466,8
0.,0.17326721,3.37873637e-06,0.86981798,0.01011835,0.09533353,3
0.,0.16200826,3.95526020e-06,0.22826072,0.01157266,0.08112038,3
0.,0.12174691,2.47475410e-06,0.27896972,0.00837961,0.13694029,1
0.,0.27306404,3.19290973e-06,0.51918237,0.00966705,0.12567672,10
0.,0.25550627,4.61343375e-06,0.45798516,0.00792797,0.08291129,5
0.,0.17112408,5.46091922e-06,0.4303277,0.01329385,0.08270084,2
0.,0.25643776,4.47842264e-06,0.94861198,0.01084168,0.13613956,10
0.,0.22019456,2.81042261e-06,0.6974743,0.01208611,0.14207736,2
