log_diff,betta,Io,phi,IFR,xi,offset
0.,0.1049324,2.16931662e-07,0.47866131,0.01383659,0.15437326,0
0.,0.07405746,8.78086888e-06,0.37322455,0.0130608,0.09133002,4
0.,0.17604462,8.28845729e-06,0.29685909,0.00967919,0.07301966,9
0.,0.08543859,2.16153113e-06,0.43410546,0.00926286,0.08720251,5
0.,0.23513052,9.05963847e-06,0.27076873,0.01100487,0.1024545,4
0.,0.16977065,5.72894233e-06,0.42821453,0.0068835,0.14031619,10
0.,0.19010908,1.89302698e-06,0.37335949,0.0128101,0.11944319,8
0.,0.2544965,4.07920768e-07,0.28924434,0.01372982,0.08007895,10
0.,0.28049163,4.44781544e-06,0.37487822,0.00884321,0.14070108,3
0.,0.1682045,3.42702525e-06,0.12623236,0.01113755,0.15622465,4
0.,0.27120379,5.00552355e-06,0.76345912,0.01359499,0.14525132,6
0.,0.20495496,6.15922067e-06,0.46962098,0.01179382,0.16571957,5
0.,0.29057987,8.26330341e-06,0.9481084,0.01363726,0.13076915,5
0.,0.23469647,6.98221437e-06,0.39395848,0.01302692,0.11224455,7
0.,0.28419164,4.38153885e-06,0.20264851,0.0129815,0.14725623,9
0.,0.11928924,6.34299053e-06,0.03261728,0.00600417,0.15292313,4
0.,0.22128912,4.79816107e-06,0.13238408,0.01256533,0.06902384,6
0.,0.09183321,5.04176372e-06,0.60258435,0.0064532,0.11975975,5
0.,0.24257556,7.75125939e-06,0.62915987,0.00722417,0.0646546,3
0.,0.09256592,8.39028689e-06,0.34460566,0.00692795,0.10861593,9
