log_diff,betta,Io,phi,IFR,xi,offset
0.,0.11315003,6.81981143e-06,0.89883144,0.00968011,0.15259619,5
0.,0.17855696,3.96118485e-06,0.81578688,0.01321992,0.09271427,9
0.,0.12341364,3.75755616e-06,0.37261626,0.00993813,0.11236019,9
0.,0.15694105,5.28074449e-06,0.2921779,0.01121451,0.1125358,5
0.,0.2089131,2.15036790e-06,0.78147024,0.01002709,0.12513292,1
0.,0.25530893,7.11224628e-06,0.29909581,0.01164995,0.15223985,1
0.,0.17362637,5.82441921e-06,0.87293958,0.01001501,0.12608671,6
0.,0.15464588,2.59433113e-06,0.29322298,0.00790222,0.13129566,7
0.,0.2305555,4.82699624e-06,0.67905029,0.00979591,0.1344125,8
0.,0.13949285,6.41740337e-06,0.77867292,0.00949424,0.11410642,7
0.,0.18405379,4.12915726e-06,0.78474112,0.00844763,0.11514706,1
0.,0.10414114,2.66135812e-06,0.54126447,0.01104641,0.15133285,1
0.,0.25620412,6.46438970e-06,0.90327163,0.00835275,0.11835161,1
0.,0.25768611,6.42248293e-06,0.73452204,0.00751705,0.14300413,5
0.,0.17689299,4.25162924e-06,0.80129642,0.00923886,0.09134407,2
0.,0.16148876,5.98243108e-06,0.61486956,0.01113559,0.0895752,3
0.,0.18925735,6.17551940e-06,0.68317759,0.00802215,0.15009122,6
0.,0.1259174,2.01546209e-06,0.66760263,0.01012368,0.10757193,3
0.,0.11314049,6.49073727e-06,0.86492993,0.01183166,0.12796978,5
0.,0.14228308,3.52225945e-06,0.58056164,0.01255288,0.1498729,7
