log_diff,betta,Io,phi,IFR,xi,offset
0.,0.15050495,1.75905682e-06,0.66847684,0.00810975,0.12586115,5
0.,0.08336369,4.45835640e-06,0.08935558,0.01259805,0.07545346,3
0.,0.28051392,6.90878892e-06,0.6003784,0.0089409,0.07265721,10
0.,0.09450881,5.36225841e-06,0.47566298,0.00764564,0.12527211,2
0.,0.28335051,2.94373323e-06,0.17992405,0.00818304,0.08993814,6
0.,0.05268284,7.29718780e-06,0.26301451,0.01378231,0.07966967,6
0.,0.24127682,2.92836030e-06,0.88016082,0.0137448,0.08714436,10
0.,0.07223107,8.67072615e-06,0.87614555,0.009435,0.10683648,7
0.,0.15831083,6.44319427e-06,0.96153227,0.01343092,0.1375409,6
0.,0.28451148,2.58597275e-06,0.73956547,0.00740239,0.06574098,7
0.,0.10252522,5.90836451e-07,0.98241892,0.01345629,0.10138623,8
0.,0.16737296,2.04153164e-06,0.52413039,0.01020147,0.12469972,4
0.,0.10058078,3.58716737e-06,0.14435146,0.01189381,0.12881138,7
0.,0.25631837,7.38283820e-06,0.70600714,0.01006487,0.09360668,10
0.,0.07716796,4.56853945e-06,0.67536902,0.00896802,0.08628036,1
0.,0.24085399,3.73166988e-06,0.91787119,0.00695964,0.13934679,4
0.,0.21505404,6.50635006e-06,0.77577338,0.00868051,0.06453171,9
0.,0.25776359,4.97355073e-06,0.79385274,0.01220229,0.08082282,4
0.,0.17004196,1.84764930e-06,0.61366395,0.00949329,0.12084086,1
0.,0.14752788,4.83146333e-06,0.30828431,0.01050617,0.08784798,6
