log_diff,betta,Io,phi,IFR,xi,offset
0.,0.20075007,6.75365319e-06,0.60517612,0.00950316,0.08591279,0
0.,0.22276405,7.72532328e-06,0.19702115,0.00943779,0.10043342,5
0.,0.18304638,7.33033180e-06,0.76466519,0.01172158,0.07871315,2
0.,0.16006299,2.88264230e-06,0.55476451,0.0083735,0.152697,1
0.,0.25951549,3.86599843e-06,0.27286216,0.01197698,0.07487287,0
0.,0.12687983,7.23005500e-06,0.33350749,0.00706151,0.07996514,2
0.,0.17250561,5.03124270e-06,0.50310265,0.00681116,0.10113308,1
0.,0.16734293,6.72799294e-06,0.35446465,0.00816631,0.1275764,1
0.,0.23617507,6.46323339e-06,0.26506096,0.00647728,0.14439081,5
0.,0.21329076,1.50738669e-06,0.52390774,0.00861373,0.09350205,0
