log_diff,betta,Io,phi,IFR,xi,offset
0.,0.22900485,1.43002847e-06,0.78853637,0.00689051,0.14879604,4
0.,0.21925683,5.49450694e-06,0.8954885,0.00811502,0.11001396,6
0.,0.16145629,7.94454929e-06,0.50086606,0.01099383,0.15423897,7
0.,0.1006523,1.55129308e-06,0.72123938,0.01261855,0.10697016,9
0.,0.13575344,1.65604577e-06,0.66417691,0.00962283,0.14390626,4
0.,0.03512453,1.71775810e-06,0.83441771,0.01184672,0.16191811,0
0.,0.10731284,3.14197368e-06,0.15137824,0.00648858,0.08666251,4
0.,0.25789447,4.13392539e-06,0.42339563,0.00912596,0.06868258,3
0.,0.05336101,1.70177330e-06,0.16147178,0.01166162,0.14361736,5
0.,0.05931961,4.67414925e-06,0.30394068,0.00630645,0.14766196,0
