log_diff,betta,Io,phi,IFR,xi,offset
0.,0.09109821,7.58839086e-06,0.27941572,0.01244113,0.10791571,0
0.,0.11199847,4.16262050e-06,0.36816738,0.01156738,0.12023407,6
0.,0.15759726,1.12707623e-06,0.4266123,0.01278189,0.07381756,1
0.,0.15968312,7.62636278e-06,0.69015727,0.01262377,0.14725787,3
0.,0.15697657,5.24047242e-06,0.44631488,0.01005381,0.13281382,7
0.,0.19468495,4.12595738e-06,0.10586908,0.01174791,0.14050094,8
0.,0.23847977,1.37295665e-06,0.7577732,0.00851658,0.07953605,5
0.,0.09933111,3.11634264e-06,0.65707473,0.01240834,0.12953028,3
0.,0.27776298,6.86053983e-06,0.32800198,0.00846687,0.08177562,2
0.,0.170027,4.42818580e-06,0.3894605,0.0091225,0.11752249,4
