log_diff,betta,Io,phi,IFR,xi,offset
0.,0.26011706,9.57317484e-06,0.6235363,0.01164854,0.06790066,3
0.,0.29052201,6.00174126e-06,0.60388626,0.01008225,0.09931919,9
0.,0.20119004,4.57509988e-06,0.4886535,0.01114504,0.07222206,1
0.,0.15626743,1.63959250e-06,0.48674082,0.01175002,0.06733189,9
0.,0.0765783,1.05771920e-06,0.29380511,0.00789448,0.07112687,5
0.,0.01669848,3.72903855e-06,0.09336573,0.0127039,0.12459549,8
0.,0.03483007,4.88361065e-06,0.94367518,0.01271041,0.13315956,1
0.,0.03883259,8.77151592e-06,0.49946206,0.01016925,0.06252118,4
0.,0.25969263,6.06559241e-06,0.42340875,0.01323518,0.1427452,7
0.,0.22861072,1.72777668e-06,0.31979974,0.00682928,0.16616525,7
