log_diff,betta,Io,phi,IFR,xi,offset
0.,0.26198861,1.26421006e-06,0.6275685,0.00935294,0.09353413,5
0.,0.15443475,1.95404174e-06,0.30111174,0.00809749,0.1210079,8
0.,0.24198498,3.70088658e-06,0.34586983,0.00713057,0.11895612,3
0.,0.19727911,5.53105626e-06,0.48550683,0.00916455,0.11381858,2
0.,0.17892735,4.90691563e-06,0.77192878,0.01051455,0.09791485,4
0.,0.18415041,1.53455712e-06,0.65103079,0.00663495,0.07611071,4
0.,0.12737107,6.05334431e-06,0.61347683,0.0082605,0.07512207,8
0.,0.25181471,3.35601979e-06,0.75345499,0.00954694,0.08187847,6
0.,0.18044219,4.23390167e-06,0.48169164,0.0087952,0.07368312,7
0.,0.12722055,7.75322430e-06,0.5114482,0.00859244,0.08787502,6
