log_diff,betta,Io,phi,IFR,xi,offset
0.,0.26377366,2.38804217e-06,0.50085944,0.01058762,0.07750524,8
0.,0.1545264,3.75957810e-06,0.73603305,0.00850187,0.13099,4
0.,0.21915709,7.19036308e-06,0.58825091,0.00701198,0.07571037,7
0.,0.16442324,4.32358345e-06,0.43231248,0.00963428,0.13146818,2
0.,0.16277064,6.22731717e-06,0.59509136,0.01100373,0.12664443,1
0.,0.26357259,2.61871711e-06,0.58729536,0.00807038,0.1276043,3
0.,0.20529553,2.97236282e-06,0.44231801,0.0098518,0.09765336,4
0.,0.1429938,5.22944278e-06,0.45078076,0.00783751,0.07561913,5
0.,0.15357844,2.60415459e-06,0.7048893,0.00657377,0.14105593,8
0.,0.22566491,5.38952728e-06,0.42468823,0.00909269,0.08552416,1
